School Name,School ID,School Network
John T Pirie Fine Arts & Academic Center ES,610130,Network 12
West Ridge Elementary School,610542,ISP
Arthur R Ashe Elementary School,610268,Network 12
William W Carter Elementary School,609844,AUSL
Emiliano Zapata Elementary Academy,609973,ISP
John Charles Haines Elementary School,609959,Network 6
Claremont Academy Elementary School,610347,Network 10
Edison Park Elementary School,610523,Network 1
Air Force Academy High School,610513,Network 16
Marvin Camras Elementary School,610539,ISP
Josiah Pickard Elementary School,610129,ISP
Edgar Allan Poe Elementary Classical School,610132,Network 13
Jensen Elementary Scholastic Academy,610271,Network 5
William J Onahan Elementary School,610104,Network 1
Crown Community Academy of Fine Arts Center ES,609873,Network 5
Little Village Elementary School,609834,ISP
John Fiske Elementary School,609919,Network 9
Belmont-Cragin Elementary School,609922,ISP
Collins Academy High School,610499,AUSL
Augustus H Burley Elementary School,609820,ISP
Walter Payton College Preparatory High School,609680,ISP
Urban Prep Academy for Young Men - Bronzeville,400105,nan
Christopher Columbus Elementary School,609863,ISP
